"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","continent","otherCatalogNumbers","fieldNotes","references","nomenclaturalCode","institutionID","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","coordinateUncertaintyInMeters","habitat","georeferenceProtocol","georeferenceSources","individualCount","higherGeography","higherClassification","verbatimTaxonRank","datasetID","identificationRemarks","georeferencedDate","fieldNumber","verbatimLocality","previousIdentifications","nomenclaturalStatus","taxonID","bibliographicCitation","verbatimCoordinateSystem","accessRights","typeStatus","typifiedName","organismID","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Solanum pabstii",1585201524,-26.887117,-50.43247,"gass84","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:23.189+0000","2018-11-24T12:35:23.404+0000",123,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2015-05-03T00:00:00",1130,0,"Paraná",2015,1,14,"2015-01-14T00:00:00","2018-11-19T18:53:31.000+0000","2018-12-07T01:13:52.753+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EFC - Herbário Escola de Florestas Curitiba","BRA:UFPR:EFC:0000014498","202","EFC - Herbário Escola de Florestas Curitiba","Santa Cecília","Arredores da cidade, BR - 101","pt","EFC",1585201524,"BRA:UFPR:EFC:0000014498","Collection","Ribeiro, C.L.","14498","Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR","Arvoreta próxima a estrada","Ribeiro, C.L.","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Santa Cecília","Paraná","brazil",NA,"",NA,NA,NA,"","","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-26.887117,-50.43247,"original coordinates","original coordinates OK"
"2","Solanum pabstii",1077424604,-28.082778,-49.498333,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:20.729+0000","2018-10-24T15:38:15.451+0000",121,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2015-01-03T00:00:00",1546,0,"Santa Catarina",2015,1,3,"2015-01-03T00:00:00","2018-10-11T17:28:41.000+0000","2018-12-06T14:18:06.981+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000045524","967","FURB - Herbário Dr. Roberto Miguel Klein","Urubici","Morro da Igreja - Parque Nacional São Joaquim.","pt","FURB",1077424604,"BRA:FURB:FURB:0000045524","Collection","Oliveira, A.A. de","45524","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Regeneração IFFSC 166 /L/23","Oliveira, AA de","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Urubici","Santa Catarina","brazil",414,"Urubici",4218905,-49.578366,-28.038901,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-28.082778,-49.498333,"original coordinates","original coordinates OK"
"3","Solanum pabstii",1077425644,-26.6375,-51.480278,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:21.335+0000","2018-10-24T15:38:15.898+0000",121,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2015-03-25T00:00:00",1316,0,"Santa Catarina",2015,3,4,"2015-03-04T00:00:00","2018-10-11T17:28:41.000+0000","2018-12-06T14:18:07.596+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000046627","1318","FURB - Herbário Dr. Roberto Miguel Klein","Água Doce","Fazenda Serrito.","pt","FURB",1077425644,"BRA:FURB:FURB:0000046627","Collection","Oliveira, A.A. de","46627","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Regeneração IFFSC 837 /S/8","Pastório, FF","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Água Doce","Santa Catarina","brazil",716,"Água Doce",4200408,-51.612923,-26.76348,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.6375,-51.480278,"original coordinates","original coordinates OK"
"4","Solanum pabstii",1077377162,-26.715556,-51.575278,"gass84","121275a3-dcce-44f4-9868-37326e9f64ef","d254f613-d4dd-4553-9fe3-b9485ca28371","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:30.534+0000","2018-10-24T15:38:54.186+0000",122,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2013-12-05T00:00:00",1300,0,"Santa Catarina",2013,11,26,"2013-11-26T00:00:00","2018-10-01T14:32:35.000+0000","2018-12-06T14:17:46.565+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","BRA:UFSC:FLOR:0000053708","824","FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","Água Doce","Fazenda Roseira. Rafael-Pierdona@hotmail.com.","pt","FLOR",1077377162,"BRA:UFSC:FLOR:0000053708","Collection","Campestrini, S.; Trevisan, R.; Ferreira, J.P. & Venturi, S.","53708","Universidade Federal de Santa Catarina (UFSC)","Universidade Federal de Santa Catarina (UFSC)","","Campestrini, S.","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Água Doce","Santa Catarina","brazil",716,"Água Doce",4200408,-51.612923,-26.76348,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.715556,-51.575278,"original coordinates","original coordinates OK"
"5","Solanum pabstii",1087655403,-20.056389,-49.488222,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:40.992+0000","2018-02-15T05:17:44.418+0000",121,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2013-01-01T00:00:00",1171,0,"Santa Catarina",2012,2,13,"2012-02-13T00:00:00","2018-01-16T21:14:37.000+0000","2018-12-08T13:05:45.244+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000155736","1723","BHCB - Herbário da Universidade Federal de Minas Gerais","Urubici","Estrada de subida para o Morro da Igreja, Entrada de acesso secundário para chácaras, próximo a contensão de encosta.","pt","BHCB",1087655403,"BRA:UFMG:BHCB:0000155736","Collection","Giacomin, LL; Mota, NFO; Rezende, VL","155736","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","","SOUTH_AMERICA","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Urubici","Santa Catarina","brazil",414,"Urubici",4218905,-49.578366,-28.038901,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-20.056389,-49.488222,"original coordinates","original coordinates outside municipality original in urubici falls in paulo de faria"
"6","Solanum pabstii",1913592050,-27.5926,-49.1914,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:05.450+0000","2018-09-24T19:50:19.734+0000",132,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2011-01-25T00:00:00",145,0,"Santa Catarina",2011,2,26,"2011-02-26T00:00:00","2018-09-05T14:13:43.000+0000","2018-12-10T13:35:52.750+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000040418","3841","ASE - Herbário da Universidade Federal de Sergipe","Rio Fortuna","Canyon espraiado., Campo dos Padres.","pt","ASE",1913592050,"BRA:UFS:ASE:0000040418","Collection","Verdi, M; Souza, NL; Klemz, G; Klettenberg, DH","40418","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Floresta ombrófila mista, estágio médio a avançado.","Oliveira, AA","SOUTH_AMERICA","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Rio Fortuna","Santa Catarina","brazil",407,"Rio Fortuna",4214904,-49.190738,-28.093482,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.5926,-49.1914,"original coordinates","original coordinates outside municipality original in rio fortuna falls in angelina"
"7","Solanum pabstii",1077414519,-27,-50.76,"gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:14.417+0000","2018-10-24T15:38:11.305+0000",121,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2011-05-24T00:00:00",881,0,"Santa Catarina",2011,5,24,"2011-05-24T00:00:00","2018-10-11T17:28:41.000+0000","2018-12-06T14:18:02.311+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000035490","6900","FURB - Herbário Dr. Roberto Miguel Klein","Lebon Régis","Distante 16 km à leste de Fraiburgo.","pt","FURB",1077414519,"BRA:FURB:FURB:0000035490","Collection","Korte, A.","35490","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Fito IFFSC 618 //50","Korte, A","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Lebon Régis","Santa Catarina","brazil",697,"Lebon Régis",4209706,-50.702718,-26.858401,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27,-50.76,"original coordinates","original coordinates outside municipality original in lebon regis falls in fraiburgo"
"8","Solanum pabstii",1902143902,-27.990555,-49.320556,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:29.411+0000","2018-09-24T19:59:09.577+0000",207,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2011-01-25T00:00:00",NA,NA,"Santa Catarina",2010,3,9,"2010-03-09T00:00:00","2018-08-29T14:45:19.148+0000","2018-12-06T11:56:04.318+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1396920","3841","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Rio Fortuna","Canyon Espraiado / Campo dos Padres","","RB",1902143902,"urn:catalog:JBRJ:RB:1396920","PhysicalObject","M. Verdi; N. L. de Souza; G. Klemz; D. H. Klettenberg","RB01396920","JBRJ","","IFFSC - 1/193/Fito/N/5","A. A. de Oliveira","","RB 774194","Estágio médio a avançado. Interior de fragmento","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Rio Fortuna","Santa Catarina","brazil",407,"Rio Fortuna",4214904,-49.190738,-28.093482,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.990555,-49.320556,"original coordinates","original coordinates OK"
"9","Solanum pabstii",1077411090,-27.54,-48.78,"gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:12.472+0000","2018-10-24T15:38:09.799+0000",121,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2010-10-29T00:00:00",230,0,"Santa Catarina",2010,7,8,"2010-07-08T00:00:00","2018-10-11T17:28:41.000+0000","2018-12-06T14:18:00.679+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000032066","2306","FURB - Herbário Dr. Roberto Miguel Klein","Antônio Carlos","Rua Nossa Senhora de Fátima.","pt","FURB",1077411090,"BRA:FURB:FURB:0000032066","Collection","Dreveck, S.","32066","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Florística IFFSC 351 (Arbusto)","Sobral, M","","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Antônio Carlos","Santa Catarina","brazil",541,"Antônio Carlos",4201208,-48.833503,-27.496884,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.54,-48.78,"original coordinates","original coordinates OK"
"10","Solanum pabstii",1087646255,-26.818056,-51.4825,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:37.617+0000","2018-02-15T05:17:39.637+0000",121,"none","PRESERVED_SPECIMEN",2930362,6,7707728,220,1176,7717,2928997,2930362,2930362,"Solanum pabstii L.B.Sm. & Downs","Solanum pabstii L.B.Sm. & Downs","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum pabstii","Solanum","pabstii","SPECIES","ACCEPTED","2013-01-01T00:00:00",1315,0,"Santa Catarina",2009,3,25,"2009-03-25T00:00:00","2018-01-16T21:14:37.000+0000","2018-12-08T13:05:41.056+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000133641","578","BHCB - Herbário da Universidade Federal de Minas Gerais","Água Doce","Herciliópolis","pt","BHCB",1087646255,"BRA:UFMG:BHCB:0000133641","Collection","Stival-Santos, A; Silveira, S","133641","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","","SOUTH_AMERICA","","","","","","",NA,"","",NA,"","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",NA,"",NA,"","","",NA,"Água Doce","Santa Catarina","brazil",716,"Água Doce",4200408,-51.612923,-26.76348,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.818056,-51.4825,"original coordinates","original coordinates OK"
