"","nombre","final_family","nusado","n_in_uc","uc"
"1","Carpotroche brasiliensis","Achariaceae",187,30,"FLORESTA NACIONAL DE RIO PRETO,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,PARQUE NACIONAL DO MONTE PASCOAL,RESERVA BIOLÓGICA DE UNA,RESERVA BIOLÓGICA DE SOORETAMA,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,FLORESTA NACIONAL DE PACOTUBA,RESERVA BIOLÓGICA DO CÓRREGO DO VEADO,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,PARQUE ESTADUAL DO RIO DOCE,PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE"
"2","Lindackeria latifolia","Achariaceae",64,7,"ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO,FLORESTA NACIONAL DE TAPAJÓS,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,FLORESTA NACIONAL DE CARAJÁS,PARQUE NACIONAL DO JAMANXIM,ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO"
"3","Astronium concinnum","Anacardiaceae",49,2,"FLORESTA NACIONAL DE GOYTACAZES,ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE"
"4","Spondias macrocarpa","Anacardiaceae",74,7,"ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,RESERVA EXTRATIVISTA MARINHA CAETÉTAPERAÇU,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU"
"5","Spondias tuberosa","Anacardiaceae",415,12,"ÁREA DE PROTEÇÃO AMBIENTAL GRUTAS DOS BREJÕES / VEREDAS DO ROMÃO GRAMACHO,FLORESTA NACIONAL DE CONTENDAS DO SINCORÁ,ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,PARQUE NACIONAL DO CATIMBAU,ÁREA DE PROTEÇÃO AMBIENTAL LAJEDÃO,ESTAÇÃO ECOLÓGICA DE AIUABA"
"6","Spondias venulosa","Anacardiaceae",108,8,"ÁREA DE PROTEÇÃO AMBIENTAL DO PAU BRASIL,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DO OROBÓ,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS"
"7","Annona aurantiaca","Annonaceae",72,10,"PARQUE NACIONAL DA CHAPADA DOS VEADEIROS,PARQUE ESTADUAL DO JALAPãO,ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS,PARQUE ESTADUAL DO XINGU,ÁREA DE PROTEÇÃO AMBIENTAL MEANDROS DO ARAGUAIA,ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO"
"8","Annona dolabripetala","Annonaceae",276,83,"PARQUE NACIONAL DE SÃO JOAQUIM,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA,RESERVA BIOLÓGICA DO TINGUÁ,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,PARQUE ESTADUAL DA SERRA DO MAR,RESERVA BIOLÓGICA AUGUSTO RUSCHI,PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,ESTAÇÃO ECOLÓGICA BANANAL,PARQUE ESTADUAL DO JARAGUÁ,ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DA LAGOA SANTA,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS,FLORESTA NACIONAL DE CONTENDAS DO SINCORÁ,ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,PARQUE ESTADUAL CARLOS BOTELHO,ESTAÇÃO ECOLÓGICA CHAÚAS,PARQUE ESTADUAL  DA ILHA DO CARDOSO,ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,PARQUE ESTADUAL SERRA DO BRIGADEIRO,RESERVA BIOLÓGICA DE POÇO DAS ANTAS,ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,PARQUE ESTADUAL BIRIBIRI,PARQUE NACIONAL DA TIJUCA,ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU"
"9","Annona neosericea","Annonaceae",131,21,"ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,PARQUE NACIONAL DA SERRA DO ITAJAÍ,PARQUE NACIONAL DA SERRA DA BOCAINA,PARQUE ESTADUAL CARLOS BOTELHO,PARQUE ESTADUAL DA SERRA DO MAR,PARQUE NACIONAL DE SÃO JOAQUIM"
"10","Annona rugulosa","Annonaceae",35,4,"PARQUE ESTADUAL DE CAMPOS DO JORDÃO,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA SERRA DA ABELHA,ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA,PARQUE NACIONAL DA SERRA DO ITAJAÍ"
"11","Annona salzmannii","Annonaceae",130,20,"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,PARQUE NACIONAL DA SERRA DE ITABAIANA,RESERVA BIOLÓGICA DE UNA,ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS E DUNAS DO ABAETÉ,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,RESERVA BIOLÓGICA DO UATUMÃ,ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR ATURIÁ-APUAUZINHO,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,RESERVA BIOLÓGICA DO ABUFARI"
"12","Annona sylvatica","Annonaceae",346,46,"FLORESTA NACIONAL DE RIO PRETO,PARQUE NACIONAL DA SERRA DO ITAJAÍ,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO,FLORESTA NACIONAL DE IRATI,PARQUE NACIONAL DO MONTE PASCOAL,PARQUE ESTADUAL CARLOS BOTELHO,ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ,RESERVA BIOLOGICA DE PEDRA TALHADA,ESTAÇÃO ECOLÓGICA DOS CAETETUS,PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,ESTAÇÃO ECOLÓGICA BANANAL,ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DA LAGOA SANTA,PARQUE ESTADUAL DA CANTAREIRA,PARQUE NACIONAL SERRA DAS CONFUSÕES,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DO OROBÓ,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO,ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS,ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO BARBADO,PARQUE NACIONAL DA TIJUCA"
"13","Annona vepretorum","Annonaceae",75,2,"ESTAÇÃO ECOLÓGICA RASO DA CATARINA,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO NASCENTE DO RIO DE CONTAS"
"14","Duguetia echinophora","Annonaceae",54,7,"FLORESTA NACIONAL DE TAPAJÓS,FLORESTA ESTADUAL RIO URUBU,ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR ATURIÁ-APUAUZINHO"
"15","Duguetia gardneriana","Annonaceae",65,4,"PARQUE ESTADUAL SERRA NEGRA,PARQUE NACIONAL DA SERRA DE ITABAIANA,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU"
"16","Ephedranthus parviflorus","Annonaceae",64,10,"ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,PARQUE NACIONAL DE SETE CIDADES,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,PARQUE NACIONAL DO ARAGUAIA,ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES,PARQUE ESTADUAL SERRA AZUL"
"17","Guatteria macropus","Annonaceae",47,7,"ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,RESERVA BIOLÓGICA DE COMBOIOS"
