"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nombre","establishmentMeans","occurrenceRemarks","location","lifeForm","vegetationType","habitat","nusado","eoo","aoo2","aoo10","IUCN","CITES","use","url","n_in_uc","uc"
"1","Capparaceae","Capparidastrum brasilianum (DC.) Hutchinson",NA,NA,"Capparaceae","Capparidastrum brasilianum (DC.) Hutchinson",NA,NA,"not found",NA,"","Capparidastrum brasilianum",NA,NA,NA,NA,NA,NA,40,2269860.94124583,136,3100,"                                               ","","","",7,"RESERVA BIOL”GICA DE SOORETAMA,¡REA DE PROTE«√O AMBIENTAL DO PAU BRASIL,¡REA DE PROTE«√O AMBIENTAL DA SERRA DE SAPIATIBA,¡REA DE RELEVANTE INTERESSE ECOL”GICO SERRA DO OROB”,FLORESTA NACIONAL DE CONTENDAS DO SINCOR¡"
"2","Polygonaceae","Coccoloba ramosissima Wedd.","Coccoloba ramosissima Wedd.",13711,"Polygonaceae","Coccoloba ramosissima Wedd.",13711,NA,"LFB","name ok","","Coccoloba ramosissima","NATIVA","Endemica/Amaz√¥nia-Endemica/Mata Atl√¢ntica","BR-SE-BR-RJ-BR-ES-BR-RN-BR-PI-BR-PB-BR-MA-BR-CE-BR-BA-BR-PA","Arbusto-√Årvore","Restinga","Terr√≠cola",125,1959482.66809967,320,6200,"                  3.5                             ","","","",41,"RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRI¡,¡REA DE PROTE«√O AMBIENTAL BAÕA DE CAMAMU,¡REA DE PROTE«√O AMBIENTAL COSTA DE ITACAR…/ SERRA GRANDE,RESERVA EXTRATIVISTA MARINHA CAET…TAPERA«U,¡REA DE PROTE«√O AMBIENTAL LAGOAS E DUNAS DO ABAET…"
"3","Fabaceae","Dicorynia ingens Ducke","Dicorynia ingens Ducke",78668,"Fabaceae","Dicorynia paraensis var. ingens (Ducke) Koeppen",83071,NA,"LFB","synonym","","Dicorynia paraensis var. ingens","NATIVA","Endemica/Amaz√¥nia","BR-PA","√Årvore","Floresta de Igap√≥-Floresta Ombr√≥fila (= Floresta Pluvial)","Terr√≠cola",38,1057463.182221,116,2600," 1.6         1                                     ","","","",6,"¡REA DE PROTE«√O AMBIENTAL DE PRESIDENTE FIGUEIREDO - CAVERNA DO MOROAGA,RESERVA BIOL”GICA DO UATUM√,PARQUE ESTADUAL RIO NEGRO SETOR NORTE,FLORESTA NACIONAL DE TEF…"
"4","Myrtaceae","Marlierea excoriata Mart.","Marlierea excoriata Mart.",10590,"Myrtaceae","Marlierea excoriata Mart.",10590,NA,"LFB","name ok","","Marlierea excoriata","NATIVA","Endemica/Mata Atl√¢ntica","BR-TO-BR-PE-BR-SE-BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-BA","√Årvore","Cerrado (lato sensu)-Floresta Ombr√≥fila (= Floresta Pluvial)-Restinga","Terr√≠cola",202,2613709.19310552,604,12800,"          1        3.5                             ","","","",53,"¡REA DE PROTE«√O AMBIENTAL DE MACA… DE CIMA,PARQUE NACIONAL DA SERRA DOS ORG√OS,PARQUE NACIONAL DA SERRA DO ITAJAÕ,PARQUE NACIONAL DA TIJUCA,RESERVA BIOL”GICA DE SOORETAMA,¡REA DE PROTE«√O AMBIENTAL DE PETR”POLIS,¡REA DE PROTE«√O AMBIENTAL ESTADUAL DE GUARATUBA,¡REA DE PROTE«√O AMBIENTAL DA BACIA DO RIO MACACU,¡REA DE PROTE«√O AMBIENTAL MORRO DA PEDREIRA,PARQUE ESTADUAL DA SERRA DO MAR,PARQUE NACIONAL DA CHAPADA DIAMANTINA,PARQUE ESTADUAL DO RIO DOCE,RESERVA BIOL”GICA DO TINGU¡,¡REA DE PROTE«√O AMBIENTAL MARIMBUS / IRAQUARA,PARQUE ESTADUAL DO BOGUA«U,¡REA DE PROTE«√O AMBIENTAL SERRA DA MANTIQUEIRA,¡REA DE PROTE«√O AMBIENTAL DA BACIA DO RIO S√O JO√O - MICO LE√O,RESERVA BIOL”GICA DE UNA,¡REA DE PROTE«√O AMBIENTAL SERRA DO BARBADO,¡REA DE PROTE«√O AMBIENTAL CAMINHOS ECOL”GICOS DA BOA ESPERAN«A,PARQUE NACIONAL DO MONTE PASCOAL,¡REA DE PROTE«√O AMBIENTAL BAÕA DE CAMAMU"
"5","Myrtaceae","Marlierea neuwiedeana (O.Berg) Nied.",NA,NA,"Myrtaceae","Marlierea neuwiedeana (O.Berg) Nied.",NA,NA,"not found",NA,"","Marlierea neuwiedeana",NA,NA,NA,NA,NA,NA,61,498751.72231294,172,3400,"                                               ","","","",17,"¡REA DE PROTE«√O AMBIENTAL CONCEI«√O DA BARRA,PARQUE ESTADUAL DE ITA⁄NAS,¡REA DE PROTE«√O AMBIENTAL COSTA DE ITACAR…/ SERRA GRANDE,¡REA DE PROTE«√O AMBIENTAL PONTA DA BALEIA / ABROLHOS,PARQUE NACIONAL DO DESCOBRIMENTO,¡REA DE PROTE«√O AMBIENTAL SANTO ANT‘NIO,FLORESTA NACIONAL DE GOYTACAZES"
"6","Myrtaceae","Marlierea obscura Berg","Marlierea obscura O.Berg",10605,"Myrtaceae","Marlierea obscura O.Berg",10605,NA,"LFB","name ok","","Marlierea obscura","NATIVA","Endemica/Mata Atl√¢ntica","BR-MG-BR-ES","√Årvore","Cerrado (lato sensu)-Floresta Ombr√≥fila (= Floresta Pluvial)","Terr√≠cola",133,2176120.77936485,364,8200,"          1                                     ","","","",51,"¡REA DE PROTE«√O AMBIENTAL DE GUARAQUE«ABA,¡REA DE PROTE«√O AMBIENTAL DA BACIA DO RIO S√O JO√O - MICO LE√O,PARQUE ESTADUAL  DA ILHA DO CARDOSO,PARQUE ESTADUAL CARLOS BOTELHO,PARQUE ESTADUAL DA SERRA DO MAR,¡REA DE PROTE«√O AMBIENTAL DE CANAN…IA-IGUAP…-PERUÕBE,¡REA DE PROTE«√O AMBIENTAL MARIMBUS / IRAQUARA,PARQUE ESTADUAL DO ITACOLOMI,RESERVA BIOL”GICA AUGUSTO RUSCHI,¡REA DE PROTE«√O AMBIENTAL DE PETR”POLIS,PARQUE NACIONAL DA SERRA DOS ORG√OS,RESERVA BIOL”GICA DE PO«O DAS ANTAS,RESERVA BIOL”GICA DE UNA,¡REA DE PROTE«√O AMBIENTAL SERRA DO BARBADO,¡REA DE PROTE«√O AMBIENTAL CACHOEIRA DAS ANDORINHAS,¡REA DE PROTE«√O AMBIENTAL MORRO DA PEDREIRA"
"7","Myrtaceae","Marlierea obversa C.D.Legrand","Marlierea obversa D.Legrand",10606,"Myrtaceae","Myrcia obversa (D. Legrand) E. Lucas & C. E. Wilson",603019,NA,"LFB","synonym","","Myrcia obversa","NATIVA","Endemica/Mata Atl√¢ntica","BR-ES-BR-RJ-BR-BA","√Årvore","Floresta Ombr√≥fila (= Floresta Pluvial)-Restinga","Terr√≠cola",45,67498.2740125483,132,2800,"          1        3.5                             ","","","",8,"PARQUE ESTADUAL DE ITA⁄NAS,¡REA DE PROTE«√O AMBIENTAL LAGOA ENCANTADA,PARQUE NACIONAL DO MONTE PASCOAL,RESERVA BIOL”GICA DE UNA,¡REA DE PROTE«√O AMBIENTAL COSTA DE ITACAR…/ SERRA GRANDE"
"8","Fabaceae","Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson","Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson",116640,"Fabaceae","Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson",116640,NA,"LFB","name ok","","Pityrocarpa moniliformis","NATIVA","Endemica/Caatinga-Endemica/Mata Atl√¢ntica","BR-BA-BR-MG-BR-RN-BR-PI-BR-PB","Arbusto-√Årvore","Caatinga (stricto sensu)-Carrasco-Floresta Estacional Decidual","Terr√≠cola",637,3073513.08546935,1800,38400,"    1.5                                       2.1    ","","use","http://tropical.theferns.info/viewtropical.php?id=Pityrocarpa+moniliformis",63,"¡REA DE PROTE«√O AMBIENTAL SERRA DA IBIAPABA,PARQUE ESTADUAL DO MORRO DO CHAP…U,PARQUE NACIONAL DE SETE CIDADES,PARQUE NACIONAL SERRA DAS CONFUS’ES,¡REA DE PROTE«√O AMBIENTAL CHAPADA DO ARARIPE,PARQUE NACIONAL DA CHAPADA DIAMANTINA,PARQUE NACIONAL DO CATIMBAU,FLORESTA NACIONAL DE A«U,RESERVA BIOL”GICA GUARIBAS,¡REA DE PROTE«√O AMBIENTAL SERRA BRANCA / RASO DA CATARINA,PARQUE NACIONAL DE BRASÕLIA,ESTA«√O ECOL”GICA RASO DA CATARINA,PARQUE NACIONAL DA SERRA DA CAPIVARA,¡REA DE PROTE«√O AMBIENTAL COSTA DE ITACAR…/ SERRA GRANDE"
"9","Fabaceae","Poincianella bracteosa (Tul.) L.P.Queiroz","Poincianella bracteosa (Tul.) L.P.Queiroz",109774,"Fabaceae","Poincianella bracteosa (Tul.) L.P.Queiroz",109774,NA,"LFB","name ok","","Poincianella bracteosa","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-PI-BR-PB-BR-MA-BR-CE-BR-BA-BR-TO-BR-MT-BR-GO","Arbusto-√Årvore","Caatinga (stricto sensu)-Carrasco-Cerrado (lato sensu)-Floresta Estacional Decidual","Terr√≠cola",313,2836414.3107811,940,20100,"    1.5                                       2.1    ","","","",36,"PARQUE NACIONAL DE SETE CIDADES,¡REA DE PROTE«√O AMBIENTAL SERRA DA IBIAPABA,FLORESTA NACIONAL DE A«U,ESTA«√O ECOL”GICA DE AIUABA,¡REA DE PROTE«√O AMBIENTAL CHAPADA DO ARARIPE,PARQUE NACIONAL DE UBAJARA,¡REA DE PROTE«√O AMBIENTAL MARIMBUS / IRAQUARA,¡REA DE PROTE«√O AMBIENTAL DELTA DO PARNAIBA,¡REA DE PROTE«√O AMBIENTAL POUSO ALTO,¡REA DE PROTE«√O AMBIENTAL SERRA DO LAJEADO,¡REA DE PROTE«√O AMBIENTAL PONTA DA BALEIA / ABROLHOS"
"10","Fabaceae","Poincianella gardneriana (Benth.) L.P.Queiroz","Poincianella gardneriana (Benth.) L.P.Queiroz",109775,"Fabaceae","Poincianella gardneriana (Benth.) L.P.Queiroz",109775,NA,"LFB","name ok","","Poincianella gardneriana","NATIVA","Endemica/Caatinga","BR-RN-BR-PI-BR-PE-BR-PB-BR-CE-BR-BA","Arbusto-√Årvore","Caatinga (stricto sensu)","Terr√≠cola",62,3166030.41353844,204,5000,"                                               ","","","",3,"FLORESTA NACIONAL DE A«U,¡REA DE PROTE«√O AMBIENTAL CHAPADA DO ARARIPE,ESTA«√O ECOL”GICA DE AIUABA"
